mesa_hasta,votacion,mesa_desde,dne_distri,vot_parcodigo,total,id,dne_seccio,the_geom,cartodb_id,created_at,updated_at
67,VotosCandidaturaMesasDNacionales,63,1,505,15,41,1,,41,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
67,VotosCandidaturaMesasDNacionales,63,1,506,12,42,1,,42,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
72,VotosCandidaturaMesasDNacionales,68,1,187,17,43,1,,43,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
72,VotosCandidaturaMesasDNacionales,68,1,501,105,44,1,,44,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
72,VotosCandidaturaMesasDNacionales,68,1,502,415,45,1,,45,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
72,VotosCandidaturaMesasDNacionales,68,1,503,658,46,1,,46,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
72,VotosCandidaturaMesasDNacionales,68,1,505,24,47,1,,47,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
72,VotosCandidaturaMesasDNacionales,68,1,506,2,48,1,,48,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
94,VotosCandidaturaMesasDNacionales,86,1,187,29,49,1,,49,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
94,VotosCandidaturaMesasDNacionales,86,1,501,977,50,1,,50,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
94,VotosCandidaturaMesasDNacionales,86,1,502,198,51,1,,51,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
94,VotosCandidaturaMesasDNacionales,86,1,503,400,52,1,,52,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
94,VotosCandidaturaMesasDNacionales,86,1,505,93,53,1,,53,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
94,VotosCandidaturaMesasDNacionales,86,1,506,35,54,1,,54,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
85,VotosCandidaturaMesasDNacionales,73,1,187,26,55,1,,55,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
85,VotosCandidaturaMesasDNacionales,73,1,501,1258,56,1,,56,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
85,VotosCandidaturaMesasDNacionales,73,1,502,330,57,1,,57,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
85,VotosCandidaturaMesasDNacionales,73,1,503,489,58,1,,58,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
85,VotosCandidaturaMesasDNacionales,73,1,505,133,59,1,,59,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
85,VotosCandidaturaMesasDNacionales,73,1,506,81,60,1,,60,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
136,VotosCandidaturaMesasDNacionales,116,1,187,54,61,1,,61,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
136,VotosCandidaturaMesasDNacionales,116,1,501,330,62,1,,62,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
136,VotosCandidaturaMesasDNacionales,116,1,502,1464,63,1,,63,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
136,VotosCandidaturaMesasDNacionales,116,1,503,2711,64,1,,64,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
136,VotosCandidaturaMesasDNacionales,116,1,505,85,65,1,,65,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
136,VotosCandidaturaMesasDNacionales,116,1,506,34,66,1,,66,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
115,VotosCandidaturaMesasDNacionales,95,1,187,55,67,1,,67,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
115,VotosCandidaturaMesasDNacionales,95,1,501,358,68,1,,68,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
115,VotosCandidaturaMesasDNacionales,95,1,502,1481,69,1,,69,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
115,VotosCandidaturaMesasDNacionales,95,1,503,2787,70,1,,70,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
115,VotosCandidaturaMesasDNacionales,95,1,505,98,71,1,,71,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
115,VotosCandidaturaMesasDNacionales,95,1,506,30,72,1,,72,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
142,VotosCandidaturaMesasDNacionales,137,1,187,30,73,1,,73,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
142,VotosCandidaturaMesasDNacionales,137,1,501,98,74,1,,74,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
142,VotosCandidaturaMesasDNacionales,137,1,502,496,75,1,,75,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
142,VotosCandidaturaMesasDNacionales,137,1,503,763,76,1,,76,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
142,VotosCandidaturaMesasDNacionales,137,1,505,38,77,1,,77,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
142,VotosCandidaturaMesasDNacionales,137,1,506,9,78,1,,78,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
167,VotosCandidaturaMesasDNacionales,153,1,187,87,79,1,,79,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
167,VotosCandidaturaMesasDNacionales,153,1,501,379,80,1,,80,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
167,VotosCandidaturaMesasDNacionales,153,1,502,1275,81,1,,81,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
167,VotosCandidaturaMesasDNacionales,153,1,503,1572,82,1,,82,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
167,VotosCandidaturaMesasDNacionales,153,1,505,90,83,1,,83,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
167,VotosCandidaturaMesasDNacionales,153,1,506,32,84,1,,84,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
152,VotosCandidaturaMesasDNacionales,143,1,187,32,85,1,,85,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
152,VotosCandidaturaMesasDNacionales,143,1,501,254,86,1,,86,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
152,VotosCandidaturaMesasDNacionales,143,1,502,948,87,1,,87,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
152,VotosCandidaturaMesasDNacionales,143,1,503,1059,88,1,,88,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
152,VotosCandidaturaMesasDNacionales,143,1,505,68,89,1,,89,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
152,VotosCandidaturaMesasDNacionales,143,1,506,31,90,1,,90,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
193,VotosCandidaturaMesasDNacionales,188,1,187,32,91,1,,91,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
193,VotosCandidaturaMesasDNacionales,188,1,501,224,92,1,,92,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
193,VotosCandidaturaMesasDNacionales,188,1,502,434,93,1,,93,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
193,VotosCandidaturaMesasDNacionales,188,1,503,545,94,1,,94,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
193,VotosCandidaturaMesasDNacionales,188,1,505,56,95,1,,95,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
193,VotosCandidaturaMesasDNacionales,188,1,506,8,96,1,,96,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
180,VotosCandidaturaMesasDNacionales,168,1,187,66,97,1,,97,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
180,VotosCandidaturaMesasDNacionales,168,1,501,400,98,1,,98,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
180,VotosCandidaturaMesasDNacionales,168,1,502,910,99,1,,99,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
180,VotosCandidaturaMesasDNacionales,168,1,503,1195,100,1,,100,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
180,VotosCandidaturaMesasDNacionales,168,1,505,108,101,1,,101,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
180,VotosCandidaturaMesasDNacionales,168,1,506,27,102,1,,102,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
187,VotosCandidaturaMesasDNacionales,181,1,187,43,103,1,,103,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
187,VotosCandidaturaMesasDNacionales,181,1,501,209,104,1,,104,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
187,VotosCandidaturaMesasDNacionales,181,1,502,516,105,1,,105,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
187,VotosCandidaturaMesasDNacionales,181,1,503,682,106,1,,106,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
187,VotosCandidaturaMesasDNacionales,181,1,505,54,107,1,,107,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
187,VotosCandidaturaMesasDNacionales,181,1,506,12,108,1,,108,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
227,VotosCandidaturaMesasDNacionales,216,1,187,88,109,1,,109,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
227,VotosCandidaturaMesasDNacionales,216,1,501,430,110,1,,110,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
227,VotosCandidaturaMesasDNacionales,216,1,502,760,111,1,,111,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
227,VotosCandidaturaMesasDNacionales,216,1,503,1086,112,1,,112,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
227,VotosCandidaturaMesasDNacionales,216,1,505,101,113,1,,113,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
227,VotosCandidaturaMesasDNacionales,216,1,506,33,114,1,,114,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
206,VotosCandidaturaMesasDNacionales,194,1,187,72,115,1,,115,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
206,VotosCandidaturaMesasDNacionales,194,1,501,496,116,1,,116,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
206,VotosCandidaturaMesasDNacionales,194,1,502,863,117,1,,117,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
206,VotosCandidaturaMesasDNacionales,194,1,503,1183,118,1,,118,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
206,VotosCandidaturaMesasDNacionales,194,1,505,110,119,1,,119,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
206,VotosCandidaturaMesasDNacionales,194,1,506,39,120,1,,120,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
215,VotosCandidaturaMesasDNacionales,207,1,187,44,121,1,,121,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
215,VotosCandidaturaMesasDNacionales,207,1,501,361,122,1,,122,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
215,VotosCandidaturaMesasDNacionales,207,1,502,541,123,1,,123,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
215,VotosCandidaturaMesasDNacionales,207,1,503,819,124,1,,124,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
215,VotosCandidaturaMesasDNacionales,207,1,505,88,125,1,,125,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
215,VotosCandidaturaMesasDNacionales,207,1,506,29,126,1,,126,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
239,VotosCandidaturaMesasDNacionales,228,1,187,107,127,1,,127,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
239,VotosCandidaturaMesasDNacionales,228,1,501,512,128,1,,128,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
