fake_id,187_total,501_total,502_total,503_total,505_total,506_total,leader,leader_total,margin_of_victory
4263-4270,100,449,669,677,130,40,503,677,8
2387-2395,122,461,822,605,148,88,502,822,217
275-283,78,496,562,649,126,38,503,649,87
3944-3950,67,445,485,583,116,46,503,583,98
1785-1793,73,620,490,669,196,34,503,669,49
4351-4362,135,673,1042,1040,171,68,502,1042,2
2214-2217,47,226,340,309,66,22,502,340,31
3902-3908,66,449,571,593,107,21,503,593,22
840-863,141,806,2173,1999,246,93,502,2173,174
6625-6638,130,542,1412,1113,176,74,502,1412,299
6394-6405,30,205,962,1736,61,27,503,1736,774
1772-1780,54,699,455,748,127,49,503,748,49
5403-5408,74,307,533,540,92,32,503,540,7
5472-5487,181,774,1437,1378,231,108,502,1437,59
4390-4395,62,384,492,516,94,31,503,516,24
2436-2446,153,584,1018,832,167,87,502,1018,186
6780-6785,64,303,521,471,105,39,502,521,50
4454-4462,84,531,768,692,163,65,502,768,76
2511-2523,143,549,1387,1109,157,88,502,1387,278
2454-2459,81,319,556,436,112,67,502,556,120
4927-4929,34,143,279,220,53,21,502,279,59
6214-6224,62,289,913,898,100,35,502,913,15
3351-3360,48,885,459,709,128,48,501,885,176
4804-4810,95,412,612,570,108,41,502,612,42
3330-3342,83,1126,616,948,204,74,501,1126,178
5354-5362,95,441,824,784,148,51,502,824,40
7095-7102,68,583,541,549,137,44,501,583,34
6296-6301,33,158,556,712,52,30,503,712,156
1452-1466,159,951,1049,1251,278,107,503,1251,202
6020-6026,36,115,668,881,40,14,503,881,213
1247-1257,95,646,744,821,166,71,503,821,77
2063-2068,66,376,479,454,103,51,502,479,25
4369-4378,87,591,841,849,147,48,503,849,8
46-52,81,473,469,424,104,50,501,473,4
6342-6358,120,434,1599,1904,139,79,503,1904,305
5329-5337,126,478,767,852,126,61,503,852,85
5926-5930,38,192,435,513,54,20,503,513,78
1549-1553,36,341,297,430,75,20,503,430,89
3960-3965,53,387,418,526,94,35,503,526,108
6865-6884,295,1102,1632,1410,312,188,502,1632,222
6719-6730,111,685,1049,953,178,69,502,1049,96
5058-5067,103,388,1009,919,110,46,502,1009,90
1614-1617,25,194,241,366,52,25,503,366,125
3149-3158,98,510,857,792,142,74,502,857,65
2800-2809,153,554,924,696,165,84,502,924,228
1630-1642,98,936,723,1127,214,42,503,1127,191
4821-4828,82,485,736,557,115,45,502,736,179
3159-3167,111,500,664,796,131,53,503,796,132
369-377,94,489,586,656,127,54,503,656,70
4004-4013,78,611,817,928,128,38,503,928,111
6259-6277,131,525,1788,2101,171,77,503,2101,313
5409-5414,62,305,533,541,91,40,503,541,8
265-274,83,531,654,752,114,49,503,752,98
5817-5826,68,348,969,991,113,62,503,991,22
4829-4837,109,482,810,798,110,63,502,810,12
4014-4021,65,499,609,795,112,38,503,795,186
3406-3415,56,991,401,819,136,33,501,991,172
5213-5220,90,403,603,681,137,36,503,681,78
4901-4908,60,450,776,662,90,43,502,776,114
4383-4389,98,418,583,593,114,43,503,593,10
3667-3677,66,888,599,867,156,42,501,888,21
802-806,16,86,460,618,26,4,503,618,158
6302-6309,61,226,775,903,70,38,503,903,128
482-488,43,462,311,548,108,96,503,548,86
1278-1284,41,437,467,517,139,41,503,517,50
3259-3268,115,589,833,765,161,74,502,833,68
3636-3652,119,1333,798,1429,222,67,503,1429,96
7221-7227,94,373,576,592,97,35,503,592,16
18-31,173,932,952,923,250,99,502,952,20
5148-5154,80,396,585,635,118,35,503,635,50
3700-3713,124,1131,727,1153,169,61,503,1153,22
3502-3514,97,1103,639,1106,188,33,503,1106,3
6981-6986,77,281,370,376,66,61,503,376,6
1311-1315,38,286,376,377,89,33,503,377,1
1422-1429,85,468,533,644,153,49,503,644,111
6731-6742,115,669,1026,1004,154,56,502,1026,22
6939-6946,108,456,635,609,116,51,502,635,26
3859-3868,84,627,710,797,168,75,503,797,87
864-873,59,297,933,926,98,37,502,933,7
1297-1305,96,465,616,681,161,64,503,681,65
5028-5036,76,304,954,893,91,43,502,954,61
53-62,104,640,600,673,149,53,503,673,33
4857-4860,51,196,421,306,58,30,502,421,115
4861-4864,41,206,342,397,50,17,503,397,55
6840-6848,100,514,785,607,158,81,502,785,178
2098-2105,92,436,753,563,124,59,502,753,190
6146-6151,65,293,526,499,89,42,502,526,27
2420-2435,213,891,1465,1184,275,148,502,1465,281
4526-4535,151,645,815,727,143,73,502,815,88
5068-5076,113,447,823,814,117,32,502,823,9
3319-3329,64,997,520,804,185,71,501,997,193
2810-2824,168,699,1559,1265,171,113,502,1559,294
2477-2490,153,641,1441,1224,191,84,502,1441,217
2847-2854,73,364,847,666,117,63,502,847,181
2322-2333,163,686,1016,818,193,113,502,1016,198
5827-5830,37,129,409,397,52,10,502,409,12
5303-5310,88,359,741,776,102,54,503,776,35
1863-1868,41,462,305,593,83,21,503,593,131
5737-5750,141,583,1441,1251,174,90,502,1441,190
3826-3832,87,493,518,554,90,44,503,554,36
5114-5119,79,390,506,522,101,33,503,522,16
4577-4588,128,702,933,948,164,72,503,948,15
6192-6198,99,336,640,619,83,37,502,640,21
899-908,90,421,895,774,126,50,502,895,121
4184-4188,27,274,406,437,59,15,503,437,31
740-750,40,254,1004,1035,84,29,503,1035,31
3399-3405,38,625,268,646,102,28,503,646,21
6691-6697,39,333,612,562,123,37,502,612,50
4890-4900,139,544,1081,899,144,78,502,1081,182
1696-1697,22,130,158,173,29,13,503,173,15
7018-7022,43,291,366,386,74,52,503,386,20
2733-2748,213,893,1314,1119,255,152,502,1314,195
2585-2593,94,510,805,732,166,96,502,805,73
2761-2771,145,586,1044,860,164,92,502,1044,184
7044-7050,89,431,557,516,115,65,502,557,41
3007-3014,60,534,621,644,130,46,503,644,23
6067-6073,51,182,699,680,73,41,502,699,19
4075-4081,73,437,542,671,102,34,503,671,129
3053-3063,85,562,810,820,153,82,503,820,10
3136-3148,139,693,1083,1032,181,76,502,1083,51
3435-3445,50,1030,428,941,177,46,501,1030,89
5870-5881,101,390,1173,1187,133,83,503,1187,14
4617-4628,141,731,1051,960,206,79,502,1051,91
4510-4513,37,230,314,340,70,42,503,340,26
1189-1201,126,870,825,909,216,92,503,909,39
4282-4287,62,362,510,518,98,26,503,518,8
5326-5328,26,130,246,332,31,16,503,332,86
181-187,43,209,516,682,54,12,503,682,166
4220-4225,77,299,518,540,82,26,503,540,22
3189-3194,56,238,574,508,76,33,502,574,66
3473-3481,50,587,617,969,111,35,503,969,352
4022-4033,99,762,851,1156,183,50,503,1156,305
4760-4765,85,308,490,450,103,42,502,490,40
1737-1745,53,729,352,701,206,45,501,729,28
3278-3287,124,533,979,753,125,73,502,979,226
6750-6760,105,586,919,894,153,74,502,919,25
2691-2700,113,459,959,844,143,78,502,959,115
7156-7160,46,341,355,343,80,37,502,355,12
5322-5325,31,175,375,390,47,24,503,390,15
6936-6938,35,176,208,216,47,36,503,216,8
2658-2672,186,668,1475,1218,208,107,502,1475,257
6406-6419,48,215,1178,1866,57,41,503,1866,688
4966-4972,66,236,459,461,71,32,503,461,2
73-85,26,1258,330,489,133,81,501,1258,769
6359-6363,25,141,505,540,38,16,503,540,35
116-136,54,330,1464,2711,85,34,503,2711,1247
7255-7258,41,220,313,346,71,21,503,346,33
1836-1842,57,480,433,634,101,31,503,634,154
2298-2321,293,1290,1983,1721,359,160,502,1983,262
1326-1337,147,764,879,982,199,76,503,982,103
3114-3127,127,729,1267,1101,183,105,502,1267,166
5338-5344,87,355,636,662,108,37,503,662,26
4685-4692,98,448,645,629,120,48,502,645,16
2411-2414,64,228,329,269,59,28,502,329,60
446-460,143,987,986,1059,250,90,503,1059,72
3446-3456,51,1032,366,896,146,51,501,1032,136
4653-4664,136,720,1025,946,153,62,502,1025,79
6715-6718,35,181,355,295,48,30,502,355,60
