fake_id,187_total,501_total,502_total,503_total,505_total,506_total,leader,leader_total,margin_of_victory
4363-4368,68,306,519,479,94,48,502,519,40
2876-2889,187,757,1321,1061,188,130,502,1321,260
920-932,100,479,1062,910,180,69,502,1062,152
3594-3605,76,924,673,1175,165,40,503,1175,251
2722-2732,161,643,915,796,200,80,502,915,119
691-704,79,391,1290,1218,141,55,502,1290,72
6074-6077,37,147,296,405,39,25,503,405,109
498-504,56,461,348,524,94,33,503,524,63
6225-6236,72,376,1151,1166,143,69,503,1166,15
3869-3877,72,603,646,658,164,68,503,658,12
5077-5082,74,246,555,545,86,21,502,555,10
1754-1762,50,751,331,776,134,27,503,776,25
3985-3999,115,1135,861,1379,202,65,503,1379,244
1316-1325,79,565,688,750,131,69,503,750,62
2256-2274,184,1084,1564,1364,271,174,502,1564,200
5953-5965,80,489,1237,1282,131,48,503,1282,45
421-430,98,662,618,690,162,63,503,690,28
602-616,109,453,1496,1365,143,66,502,1496,131
5120-5129,121,605,781,887,147,73,503,887,106
6639-6653,152,693,1327,1159,218,76,502,1327,168
2990-2996,69,445,544,585,97,36,503,585,41
2942-2950,104,544,799,748,123,76,502,799,51
711-728,111,457,1783,1820,156,49,503,1820,37
1225-1232,72,448,547,598,125,50,503,598,51
4693-4699,82,395,585,526,105,53,502,585,59
5594-5601,104,406,767,662,92,42,502,767,105
6364-6381,95,474,1649,2145,157,64,503,2145,496
6121-6128,70,362,714,700,120,55,502,714,14
7011-7017,86,361,529,529,116,56,502,529,0
3168-3177,115,516,822,781,130,65,502,822,41
5182-5188,82,351,622,622,125,36,502,622,0
4716-4728,188,737,1041,972,237,82,502,1041,69
3606-3615,52,838,509,907,156,34,503,907,69
815-831,64,383,1492,2052,95,33,503,2052,560
5006-5010,40,258,419,497,64,22,503,497,78
3770-3778,26,967,348,703,111,32,501,967,264
6955-6957,49,163,216,210,56,18,502,216,6
3723-3732,75,756,553,930,137,31,503,930,174
687-690,28,136,409,356,33,12,502,409,53
4331-4341,127,608,953,938,166,64,502,953,15
5463-5471,80,444,842,818,139,54,502,842,24
3288-3296,99,465,868,721,122,58,502,868,147
207-215,44,361,541,819,88,29,503,819,278
1794-1800,24,536,353,656,91,23,503,656,120
4536-4542,70,354,552,444,101,40,502,552,108
1600-1604,58,261,331,420,71,24,503,420,89
32-45,151,981,827,840,229,87,501,981,141
6442-6448,32,167,675,846,43,17,503,846,171
5602-5607,55,301,585,514,103,31,502,585,71
4938-4946,93,435,886,834,127,44,502,886,52
6097-6102,40,165,541,707,52,27,503,707,166
5501-5511,107,534,893,967,156,72,503,967,74
3850-3858,86,534,577,604,117,56,503,604,27
2541-2555,145,639,1392,1211,162,114,502,1392,181
3926-3930,49,306,359,421,84,30,503,421,62
1503-1514,113,773,847,956,220,81,503,956,109
5259-5263,56,300,364,458,86,15,503,458,94
296-303,69,421,547,538,109,37,502,547,9
4107-4114,79,468,700,692,109,42,502,700,8
2106-2110,66,257,462,367,69,43,502,462,95
7072-7078,91,360,583,502,109,75,502,583,81
7051-7066,184,910,1321,1129,265,140,502,1321,192
5439-5443,45,223,438,496,82,35,503,496,58
6523-6532,82,337,1001,902,85,36,502,1001,99
3966-3974,84,704,531,797,135,46,503,797,93
489-497,83,577,480,658,122,69,503,658,81
1430-1441,121,750,834,929,207,68,503,929,95
5431-5434,40,203,321,370,59,26,503,370,49
5854-5869,100,575,1500,1668,178,75,503,1668,168
1240-1242,33,174,197,248,43,27,503,248,51
3064-3075,125,665,1128,1002,165,86,502,1128,126
7103-7108,67,365,401,458,112,37,503,458,57
6179-6191,134,633,1132,1030,187,89,502,1132,102
1042-1050,90,420,680,707,135,44,503,707,27
1843-1855,98,863,792,1164,243,77,503,1164,301
3909-3916,79,549,595,682,130,44,503,682,87
2087-2097,115,614,991,892,166,87,502,991,99
1911-1924,143,866,874,1156,257,52,503,1156,282
2402-2410,126,509,718,610,182,68,502,718,108
1545-1548,32,249,257,331,87,22,503,331,74
6382-6393,51,305,1163,1333,99,43,503,1333,170
3482-3491,72,692,600,1062,132,41,503,1062,370
4551-4554,57,242,330,297,66,23,502,330,33
357-362,46,347,410,416,92,25,503,416,6
3917-3925,82,578,682,841,117,51,503,841,159
1578-1583,9,766,139,328,62,27,501,766,438
7335-7337,35,168,281,254,51,18,502,281,27
6318-6322,36,149,469,573,39,23,503,573,104
4164-4175,128,690,990,1059,166,33,503,1059,69
4567-4576,96,550,792,768,144,57,502,792,24
1415-1421,68,388,499,548,115,38,503,548,49
7067-7071,70,284,394,357,77,49,502,394,37
6567-6587,179,879,2061,1715,300,115,502,2061,346
6433-6441,42,223,881,1017,61,27,503,1017,136
6806-6810,46,305,390,341,99,38,502,390,49
4115-4121,77,374,592,626,112,41,503,626,34
3343-3350,42,738,385,587,101,40,501,738,151
1624-1629,47,327,408,498,96,33,503,498,90
3195-3205,105,487,1101,922,133,71,502,1101,179
2709-2721,137,611,1267,971,182,92,502,1267,296
3733-3747,100,1223,725,1381,226,65,503,1381,158
6786-6795,134,538,836,686,183,61,502,836,150
2618-2621,55,229,339,321,59,39,502,339,18
5315-5321,76,293,636,699,95,32,503,699,63
3975-3984,71,707,589,855,172,44,503,855,148
3101-3109,91,465,748,711,141,55,502,748,37
5576-5586,109,568,1037,965,190,55,502,1037,72
1202-1213,123,809,704,916,203,65,503,916,107
676-686,83,338,1069,1019,115,46,502,1069,50
5011-5015,52,241,425,467,85,22,503,467,42
1285-1292,49,479,580,589,116,45,503,589,9
2131-2138,80,505,603,623,136,63,503,623,20
3085-3100,176,853,1444,1305,251,103,502,1444,139
5189-5199,135,565,964,992,157,54,503,992,28
1107-1113,61,409,525,505,90,34,502,525,20
2855-2868,130,594,1475,1243,178,114,502,1475,232
4481-4491,108,615,951,855,164,64,502,951,96
5108-5113,73,380,466,519,94,26,503,519,53
5690-5707,163,708,1484,1408,235,79,502,1484,76
4408-4412,56,280,415,428,85,36,503,428,13
2447-2453,119,373,653,508,107,72,502,653,145
762-767,15,119,556,731,38,15,503,731,175
4747-4753,80,406,630,528,126,47,502,630,102
4062-4066,58,289,392,469,60,31,503,469,77
5284-5288,51,202,501,495,44,28,502,501,6
956-958,37,128,281,254,38,9,502,281,27
5727-5729,33,106,308,250,54,10,502,308,58
6045-6060,131,517,1648,1578,185,73,502,1648,70
648-650,20,100,294,275,27,15,502,294,19
5051-5057,58,269,718,725,65,25,503,725,7
1554-1566,45,1547,312,704,154,35,501,1547,843
1177-1188,94,612,797,817,199,73,503,817,20
651-662,80,403,1181,1170,121,40,502,1181,11
416-420,28,269,242,255,61,23,501,269,14
363-368,62,328,422,471,90,27,503,471,49
896-898,31,111,281,240,41,16,502,281,41
3616-3627,87,986,616,1122,180,44,503,1122,136
587-601,44,247,1154,1950,74,31,503,1950,796
2334-2343,113,546,848,721,167,90,502,848,127
4675-4681,75,373,604,563,95,54,502,604,41
4555-4560,69,327,452,512,93,44,503,512,60
2980-2989,88,637,737,831,167,66,503,831,94
4995-5005,120,525,991,993,163,60,503,993,2
3110-3113,53,220,361,305,56,39,502,361,56
4589-4591,33,145,248,238,32,19,502,248,10
4417-4429,145,782,1058,1129,219,78,503,1129,71
7279-7289,103,631,803,716,175,69,502,803,87
2275-2281,84,415,556,463,91,58,502,556,93
1243-1246,29,278,248,285,71,24,503,285,7
7242-7247,61,350,537,494,127,33,502,537,43
2415-2419,64,283,400,291,132,39,502,400,109
7079-7084,97,350,445,442,84,66,502,445,3
751-761,43,220,1047,1242,90,25,503,1242,195
5767-5771,42,196,505,437,65,30,502,505,68
7213-7220,116,428,695,661,122,38,502,695,34
5931-5945,122,506,1433,1463,154,58,503,1463,30
4492-4501,102,512,899,782,165,75,502,899,117
7326-7334,98,493,818,780,139,62,502,818,38
6287-6295,65,222,879,971,76,40,503,971,92
6030-6044,49,280,1288,1951,103,48,503,1951,663
461-464,30,272,256,270,50,16,501,272,2
6106-6114,52,255,780,1019,87,56,503,1019,239
5548-5551,47,232,292,342,60,15,503,342,50
5444-5450,61,347,587,666,91,32,503,666,79
5557-5562,62,348,464,571,98,29,503,571,107
2967-2972,65,408,435,459,87,35,503,459,24
5016-5020,57,257,414,480,84,26,503,480,66
1352-1360,92,575,604,702,141,67,503,702,98
7248-7254,73,375,588,574,110,43,502,588,14
194-206,72,496,863,1183,110,39,503,1183,320
4199-4207,122,535,818,768,117,32,502,818,50
5363-5369,85,385,546,669,115,28,503,669,123
5529-5538,112,579,788,893,156,48,503,893,105
6796-6805,120,525,818,688,170,84,502,818,130
4045-4061,159,1046,1313,1586,231,87,503,1586,273
2837-2846,99,506,990,873,124,65,502,990,117
1531-1534,20,297,193,403,72,35,503,403,106
2282-2297,146,989,1276,1172,272,105,502,1276,104
1876-1883,50,630,411,753,111,37,503,753,123
