mesa_hasta,votacion,mesa_desde,dne_distri,vot_parcodigo,total,id,dne_seccio,the_geom,cartodb_id,created_at,updated_at
52,D,46,1,68,26,54,1,,54,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
52,D,46,1,187,68,55,1,,55,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
52,D,46,1,234,24,56,1,,56,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
52,D,46,1,262,32,57,1,,57,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
52,D,46,1,324,7,58,1,,58,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
52,D,46,1,325,19,59,1,,59,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
52,D,46,1,501,425,60,1,,60,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
52,D,46,1,502,520,61,1,,61,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
52,D,46,1,503,369,62,1,,62,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
52,D,46,1,504,21,63,1,,63,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
52,D,46,1,505,103,64,1,,64,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
52,D,46,1,506,51,65,1,,65,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
62,D,53,1,8,8,66,1,,66,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
62,D,53,1,68,48,67,1,,67,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
62,D,53,1,187,104,68,1,,68,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
62,D,53,1,234,33,69,1,,69,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
62,D,53,1,262,25,70,1,,70,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
62,D,53,1,324,10,71,1,,71,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
62,D,53,1,325,11,72,1,,72,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
62,D,53,1,501,613,73,1,,73,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
62,D,53,1,502,656,74,1,,74,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
62,D,53,1,503,526,75,1,,75,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
62,D,53,1,504,54,76,1,,76,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
62,D,53,1,505,135,77,1,,77,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
62,D,53,1,506,76,78,1,,78,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
67,D,63,1,8,2,79,1,,79,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
67,D,63,1,68,2,80,1,,80,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
67,D,63,1,187,11,81,1,,81,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
67,D,63,1,234,4,82,1,,82,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
67,D,63,1,262,3,83,1,,83,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
67,D,63,1,324,2,84,1,,84,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
67,D,63,1,325,26,85,1,,85,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
67,D,63,1,501,92,86,1,,86,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
67,D,63,1,502,474,87,1,,87,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
67,D,63,1,503,525,88,1,,88,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
67,D,63,1,504,16,89,1,,89,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
67,D,63,1,505,13,90,1,,90,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
67,D,63,1,506,11,91,1,,91,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
72,D,68,1,8,2,92,1,,92,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
72,D,68,1,68,5,93,1,,93,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
72,D,68,1,187,11,94,1,,94,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
72,D,68,1,234,2,95,1,,95,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
72,D,68,1,262,7,96,1,,96,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
72,D,68,1,324,1,97,1,,97,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
72,D,68,1,325,5,98,1,,98,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
72,D,68,1,501,108,99,1,,99,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
72,D,68,1,502,537,100,1,,100,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
72,D,68,1,503,550,101,1,,101,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
72,D,68,1,504,7,102,1,,102,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
72,D,68,1,505,17,103,1,,103,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
72,D,68,1,506,3,104,1,,104,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
